DT_U1,DT_U2,DT_U3,DT_ext-int,DT_ext4-int4,DP_U1_c2,DP_U2_c1,DP_U2_c2,DP_U1_c1,DP_U3_c1,DP_U3_c2,Q_U1,Q_U2,Q_U3,P30,DT30
-5.1,-0.09999999999999787,-4.699999999999999,5.884666666666666,578444276.4453907,17.8,1.5,0.5,17.2,19.0,18.2,-441.65999999999997,-0.03999999999999915,-421.35499999999996,107.59166666666665,-1.1600000000000001
-5.000000000000002,-0.10000000000000142,-3.6999999999999993,7.443833333333334,732351476.7410936,17.8,1.0,0.20000000000000107,17.400000000000002,13.100000000000001,16.6,-428.50000000000017,-0.04000000000000057,-245.12499999999994,113.27916666666665,-0.6600000000000001
-3.799999999999999,-0.10000000000000142,-2.0999999999999996,14.09206666666667,1419071685.174326,17.400000000000002,2.200000000000001,0.9000000000000004,13.899999999999999,11.099999999999998,23.7,-250.0399999999999,-0.04000000000000057,-110.66999999999999,81.14166666666667,-0.5299999999999994
-5.0,0.0,-4.699999999999999,10.471233333333332,1053744672.2240076,19.1,2.0,1.299999999999999,18.7,20.1,19.5,-447.5,0.0,-433.80999999999995,144.55833333333334,-2.5299999999999994
-3.6999999999999993,0.0,-0.1999999999999993,13.141633333333335,1311445613.149539,17.400000000000002,2.9000000000000004,2.6000000000000014,14.099999999999998,14.900000000000002,3.700000000000001,-241.79499999999993,0.0,-8.139999999999972,84.21666666666667,0.19691029900332424
-3.8000000000000007,0.0,-1.3000000000000007,14.312866666666666,1425320095.385024,17.3,2.8000000000000007,2.8000000000000007,14.0,23.299999999999997,10.1,-247.57000000000008,0.0,-65.91000000000004,99.48333333333333,-0.5850000000000009
-4.800000000000001,-0.09999999999999787,-0.7000000000000011,11.484266666666667,1161410408.274352,19.3,1.6999999999999993,1.299999999999999,18.599999999999998,0.7999999999999998,23.4,-428.64000000000004,-0.03999999999999915,-16.135000000000026,111.96666666666665,-2.040000000000001
-3.6999999999999993,0.0,-1.6000000000000014,14.072866666666668,1403120316.039525,17.5,1.9000000000000004,1.5,14.1,0.6000000000000001,15.1,-242.34999999999997,0.0,-76.72000000000007,54.13333333333333,1.0300000000000011
-4.899999999999999,-0.09999999999999787,-1.3000000000000007,11.329166666666667,1151019414.9666061,19.4,1.700000000000001,0.40000000000000036,18.8,0.7000000000000002,9.799999999999999,-439.03999999999985,-0.03999999999999915,-39.19500000000002,116.68333333333334,-3.5700000000000003
-3.8000000000000007,-0.09999999999999964,-2.200000000000001,14.781633333333334,1474093113.4222727,17.6,1.8000000000000007,0.6000000000000014,14.2,0.7000000000000002,15.700000000000001,-249.28000000000003,-0.03999999999999986,-106.59000000000006,53.541666666666664,1.3399999999999999
-3.700000000000001,-0.10000000000000142,-2.0999999999999996,13.397133333333333,1330088233.373702,17.4,2.0999999999999996,0.8000000000000007,13.899999999999999,0.6999999999999997,15.600000000000001,-242.9050000000001,-0.04000000000000057,-101.84999999999998,90.76666666666665,-1.4000000000000004
-4.899999999999999,0.0,-0.5999999999999996,12.125066666666665,1226900445.4720917,18.9,1.8000000000000007,0.6999999999999993,18.2,-91.5,27.900000000000002,-428.5049999999999,0.0,-29.27999999999998,105.00833333333334,-2.2300000000000004
-3.8000000000000007,0.0,-1.3000000000000007,14.682466666666667,1462995166.147625,17.299999999999997,1.8000000000000007,0.5999999999999996,14.0,-91.39999999999999,13.700000000000001,-246.05000000000004,0.0,-61.16500000000003,47.21666666666667,0.6006644518272424
-5.0,-0.10000000000000142,-2.1999999999999993,10.862033333333331,1088242304.7386475,18.799999999999997,1.5999999999999996,1.5999999999999996,18.2,-91.3,15.2,-440.0,-0.04000000000000057,-106.80999999999996,101.31666666666666,-1.3399999999999999
-5.0,-0.10000000000000142,-2.1999999999999993,10.3096,1033111866.9026785,18.7,1.700000000000001,1.1999999999999993,18.2,-91.6,15.4,-441.25,-0.045000000000000644,-107.68999999999997,106.22500000000001,-2.0
-5.0,-0.09999999999999787,-2.3000000000000007,10.157133333333334,1017341759.9525957,19.1,1.8000000000000007,0.5999999999999996,18.5,-91.5,15.299999999999999,-444.5,-0.03999999999999915,-112.24000000000002,104.49166666666667,-1.700000000000001
-3.799999999999999,0.0,-1.5999999999999996,16.544666666666664,1666349792.6880503,17.2,2.1999999999999993,0.8999999999999986,13.899999999999999,-145.4,-135.8,-246.99999999999994,0.0,-80.32,95.05833333333334,-1.0
-3.8000000000000007,0.0,-1.3000000000000007,16.617133333333335,1658400216.447649,17.299999999999997,2.1999999999999993,1.0,14.0,-144.7,-134.8,-245.48000000000002,0.0,-63.63500000000004,76.38333333333334,-0.2699999999999996
-4.899999999999999,-0.09999999999999964,-1.1999999999999993,10.874666666666666,1090696864.408452,19.1,1.9000000000000004,1.0,18.4,-146.8,-179.0,-431.9349999999999,-0.03999999999999986,-35.879999999999974,94.04166666666667,-1.5700000000000003
-3.299999999999999,0.0,-0.9000000000000004,16.8859,1704268405.308053,16.9,2.1999999999999993,1.0,13.399999999999999,-144.3,-130.39999999999998,-211.52999999999992,0.0,-45.40500000000002,91.14166666666667,-1.0600000000000005
-3.5,0.0,-1.5,11.866733333333334,1170818304.9309492,16.200000000000003,1.9000000000000004,0.8000000000000007,12.700000000000001,-142.5,-135.70000000000002,-222.6,0.0,-70.80000000000001,78.97923588039868,0.09999999999999964
-5.0,-0.09999999999999964,-1.3000000000000007,12.527533333333333,1265088510.4376984,19.7,2.0999999999999996,1.5,18.900000000000002,-145.4,-178.3,-445.0,-0.03999999999999986,-38.80500000000002,105.87259136212624,-1.5999999999999996
