DT_U1,DT_U2,DT_U3,DT_ext-int,DT_ext4-int4,DP_U1_c1,DP_U1_c2,DP_U2_c1,DP_U2_c2,DP_U3_c1,DP_U3_c2,Q_U1,Q_U2,Q_U3,P30,DT30
-5.0,0.0,-4.699999999999999,10.471233333333332,1053744672.2240076,18.7,19.1,2.0,1.299999999999999,20.1,19.5,-447.5,0.0,-433.80999999999995,144.55833333333334,-2.5299999999999994
-4.800000000000001,-0.09999999999999787,-0.7000000000000011,11.484266666666667,1161410408.274352,18.599999999999998,19.3,1.6999999999999993,1.299999999999999,0.7999999999999998,23.4,-428.64000000000004,-0.03999999999999915,-16.135000000000026,111.96666666666665,-2.040000000000001
-4.899999999999999,-0.09999999999999787,-1.3000000000000007,11.329166666666667,1151019414.9666061,18.8,19.4,1.700000000000001,0.40000000000000036,0.7000000000000002,9.799999999999999,-439.03999999999985,-0.03999999999999915,-39.19500000000002,116.68333333333334,-3.5700000000000003
-3.700000000000001,-0.10000000000000142,-2.0999999999999996,13.397133333333333,1330088233.373702,13.899999999999999,17.4,2.0999999999999996,0.8000000000000007,0.6999999999999997,15.600000000000001,-242.9050000000001,-0.04000000000000057,-101.84999999999998,90.76666666666665,-1.4000000000000004
-4.899999999999999,0.0,-0.5999999999999996,12.125066666666665,1226900445.4720917,18.2,18.9,1.8000000000000007,0.6999999999999993,-91.5,27.900000000000002,-428.5049999999999,0.0,-29.27999999999998,105.00833333333334,-2.2300000000000004
-3.799999999999999,0.0,-1.5999999999999996,16.544666666666664,1666349792.6880503,13.899999999999999,17.2,2.1999999999999993,0.8999999999999986,-145.4,-135.8,-246.99999999999994,0.0,-80.32,95.05833333333334,-1.0
-3.299999999999999,0.0,-0.9000000000000004,16.8859,1704268405.308053,13.399999999999999,16.9,2.1999999999999993,1.0,-144.3,-130.39999999999998,-211.52999999999992,0.0,-45.40500000000002,91.14166666666667,-1.0600000000000005
-3.799999999999999,0.0,-1.9000000000000004,13.417966666666667,1328606118.172124,13.700000000000001,17.299999999999997,2.5,1.1999999999999993,-145.5,-137.0,-247.56999999999996,0.0,-92.91000000000001,92.2,-0.7999999999999989
-3.8000000000000007,-0.09999999999999964,-1.9000000000000004,14.438766666666668,1434964432.213811,277.0,345.8,1.0999999999999996,-0.09999999999999964,-91.6,15.799999999999999,-247.57000000000008,-0.03999999999999986,-92.62500000000001,94.15833333333335,-1.0399999999999991
-5.000000000000002,0.0,-2.0999999999999996,9.985899999999999,1001046522.0419312,18.2,18.799999999999997,1.5999999999999996,0.1999999999999993,-91.6,15.299999999999999,-438.0000000000001,0.0,-101.74499999999999,108.58762458471762,-2.6400000000000006
-4.999999999999998,-0.10000000000000142,-1.9999999999999982,11.079199999999997,1119929089.3137016,18.700000000000003,19.4,2.3999999999999986,1.5,-91.6,15.7,-445.7499999999999,-0.04000000000000057,-98.29999999999991,120.05,-2.7300000000000004
-5.199999999999999,-0.09999999999999787,-2.0,3.9346666666666685,389643991.6762142,17.0,17.700000000000003,1.4000000000000004,0.5,-91.6,14.3,-448.23999999999995,-0.03999999999999915,-96.1,120.33333333333333,-3.2299999999999986
-5.300000000000001,-0.09999999999999787,-2.0,3.3246666666666673,326511830.4971876,16.6,17.4,1.0999999999999996,0.1999999999999993,-91.6,14.1,-448.38000000000005,-0.03999999999999915,-94.9,109.125,-2.83
-5.199999999999999,0.0,-1.7999999999999972,4.244666666666667,420757118.535594,16.9,17.5,1.700000000000001,0.9000000000000004,-91.6,14.299999999999999,-442.5199999999999,0.0,-85.58999999999986,120.55855481727576,-3.2699999999999996
-5.0,0.0,-2.0,8.495066666666668,850520879.7589512,18.7,19.400000000000002,1.5,0.7000000000000011,-91.5,15.7,-446.25,0.0,-98.5,134.15,-2.5
-4.6,-0.10000000000000142,-1.799999999999999,18.6234,1918065013.2751493,21.200000000000003,21.9,4.0,2.799999999999999,-91.5,18.1,-431.24999999999994,-0.04000000000000057,-92.15999999999995,115.00833333333334,-2.080000000000002
-3.5999999999999996,-0.10000000000000142,-1.9000000000000004,20.671633333333332,2120743328.8571167,16.299999999999997,19.700000000000003,4.299999999999999,2.9000000000000004,-91.5,18.7,-247.49999999999997,-0.04000000000000057,-98.13500000000002,113.6000276854928,-0.33000000000000007
-3.5999999999999996,-0.10000000000000142,-2.0,19.853299999999997,2039927586.1403303,19.1,16.700000000000003,4.0,2.6999999999999993,-91.5,18.3,-248.57999999999996,-0.04000000000000057,-102.6,120.62560963455151,-1.67
