loc_id,alias,cont_desc,familia,subfamilia,origen,ps_id,objetivo,features
508,Compuerta U1,0,Control,compuerta,1_maq,24,0,x
508,Compuerta U2,0,Control,compuerta,2_maq,92,0,x
508,Alarma U1,0,Control,alarma,1_maq,98,0,
508,Alarma U2,0,Control,alarma,2_maq,99,0,
508,Filtro sucio U1,0,Control,filtro,instalacion,147,0,
508,Filtro sucio U2,0,Control,,instalacion,160,0,
508,Paro - Marcha U3,0,Control,marcha_paro,3_maq,274,0,
508,Verano - Invierno U3,0,Control,,instalacion,275,0,
508,Filtro sucio U3,0,Control,filtro,instalacion,276,0,
508,Alarma U3,0,Control,alarma,3_maq,277,0,
508,Compuerta U3,0,Control,compuerta,3_maq,280,0,x
508,Alarma U4,0,Control,alarma,4_maq,285,0,
508,Filtro sucio U4,0,Control,filtro,instalacion,286,0,
508,Paro - Marcha U2,0,Control,marcha_paro,2_maq,381,0,
508,Verano - Invierno U2,0,Control,modo_func,instalacion,382,0,x
508,Verano - Invierno U4,0,Control,,instalacion,406,0,
508,Paro - Marcha U4,0,Control,marcha_paro,4_maq,407,0,
508,Verano - Invierno U1,0,Control,modo_func,instalacion,428,0,x
508,Paro - Marcha U1,0,Control,marcha_paro,1_maq,429,0,
508,Algoritmos,0,Control,algoritmos,instalacion,544,0,
508,Compuerta U4,0,Control,compuerta,4_maq,786,0,x
508,Ver - Inv Instalación,0,Control,modo_func,instalacion,955,0,x
508,FP General,0,electricos,FP,instalacion,782,0,
508,Rooftops,0,flujo,energia_activa,instalacion,3,0,
508,Rooftop U1,0,flujo,energia_activa,1_maq,29,0,
508,Rooftop U2,0,flujo,energia_activa,2_maq,60,0,
508,Rooftop U3,0,flujo,energia_activa,3_maq,82,0,
508,Rooftop U4,0,flujo,,4_maq,112,0,
508,Energía Contador,0,flujo,energia_activa,instalacion,695,0,
508,Humedad S1,0,otros_params_fisicos,humedad,instalacion,624,0,
508,Humedad S2,0,otros_params_fisicos,humedad,instalacion,625,0,
508,Humedad S3,0,otros_params_fisicos,humedad,instalacion,626,0,
508,CO2 S1,49501,otros_params_fisicos,co2,instalacion,627,0,
508,Pot. Rooftop U1,0,potencia,electrica_activa,1_maq,1,0,x
508,Pot. Rooftop U2,0,potencia,electrica_activa,2_maq,27,0,x
508,Pot. Rooftop U3,0,potencia,electrica_activa,3_maq,48,0,x
508,Pot. Rooftop U4,0,potencia,electrica_activa,4_maq,49,0,x
508,Potencia General,0,potencia,electrica_activa,instalacion,781,0,
508,Suma Potencias,0,potencia,electrica_activa,instalacion,900,0,x
508,Presión alta C1 U1,0,presiones,alta_c1,1_maq,9,0,x
508,Presión baja C1 U1,0,presiones,baja_c1,1_maq,10,0,x
508,Presión alta C2 U1,0,presiones,alta_c2,1_maq,11,0,x
508,Presión baja C2 U1,0,presiones,baja_c2,1_maq,12,0,x
508,Presión alta C1 U2,0,presiones,alta_c1,2_maq,32,0,x
508,Presión alta C2 U2,0,presiones,alta_c2,2_maq,33,0,x
508,Presión baja C1 U2,0,presiones,baja_c1,2_maq,34,0,x
508,Presión baja C2 U2,0,presiones,baja_c2,2_maq,35,0,x
508,Presión alta C1 U3,0,presiones,alta_c1,3_maq,189,0,x
508,Presión alta C2 U3,0,presiones,alta_c2,3_maq,190,0,x
508,Presión baja C2 U3,0,presiones,baja_c1,3_maq,191,0,x
508,Presión baja C1 U3,0,presiones,baja_c2,3_maq,192,0,x
508,Presión alta C1 U4,0,presiones,alta_c1,4_maq,451,0,x
508,Presión alta C2 U4,0,presiones,alta_c2,4_maq,452,0,x
508,Presión baja C2 U4,0,presiones,baja_c2,4_maq,453,0,x
508,Presión baja C1 U4,0,presiones,baja_c1,4_maq,454,0,x
508,Tª exterior U1,0,temperaturas,exterior,instalacion,13,0,x
508,Tª interior S1,0,temperaturas,interior,instalacion,14,0,
508,Tª impulsión U1,0,temperaturas,impulsion,1_maq,15,0,x
508,Tª retorno U1,0,temperaturas,retorno,1_maq,16,0,x
508,Tª impulsión U2,0,temperaturas,impulsion,2_maq,36,0,x
508,Tª retorno U2,0,temperaturas,retorno,2_maq,37,0,x
508,Tª exterior U2,0,temperaturas,exterior,instalacion,47,0,x
508,Tª interior S2,0,temperaturas,interior,instalacion,164,0,
508,Tª interior S3,0,temperaturas,interior,instalacion,174,0,
508,Tª impulsión U3,0,temperaturas,impulsion,3_maq,187,0,x
508,Tª retorno U3,0,temperaturas,retorno,3_maq,188,0,x
508,Tª SET U3,0,temperaturas,consigna_v,3_maq,268,0,
508,Tª exterior U3,0,temperaturas,t_exterior,instalacion,271,0,x
508,Tª retorno U4,0,temperaturas,retorno,4_maq,287,0,x
508,Tª SET U2,0,temperaturas,consigna_v,2_maq,365,0,
508,Tª exterior U4,0,temperaturas,t_exterior,instalacion,369,0,x
508,Tª SET U4,0,temperaturas,consigna_v,4_maq,372,0,
508,Tª impulsión U4,0,temperaturas,impulsion,4_maq,384,0,x
508,Tª SET Verano U1,0,temperaturas,consigna_v,1_maq,430,0,
508,Tª SET Invierno U1,0,temperaturas,consigna_i,1_maq,431,0,
508,Tª consigna Retail,0,temperaturas,consigna,instalacion,950,0,
